place_id,lat,lon
BikePoints_172,51.49121,-0.173715
BikePoints_850,51.4891,-0.091548
BikePoints_529,51.486893,-0.170983
BikePoints_659,51.511932,-0.103078
BikePoints_546,51.51743,-0.107987
BikePoints_803,51.50541,-0.098341
BikePoints_463,51.534775,-0.071881
BikePoints_247,51.53053,-0.167515
BikePoints_452,51.505695,-0.070542
BikePoints_453,51.508446,-0.055167
BikePoints_281,51.495804,-0.127575
BikePoints_311,51.51918,-0.140485
BikePoints_33,51.515232,-0.07015
BikePoints_518,51.528225,-0.037471
BikePoints_589,51.487198,-0.179369
BikePoints_402,51.522892,-0.171681
BikePoints_278,51.503494,-0.07962
BikePoints_538,51.50898,-0.00699
BikePoints_96,51.53095,-0.078505
BikePoints_97,51.497925,-0.183834
BikePoints_714,51.473118,-0.137235
BikePoints_820,51.492805,-0.091938
BikePoints_168,51.5004,-0.195455
BikePoints_42,51.53099,-0.093903
BikePoints_284,51.49914,-0.112031
BikePoints_812,51.548733,-0.022606
BikePoints_143,51.496887,-0.161203
BikePoints_150,51.497055,-0.168917
BikePoints_227,51.528915,-0.11548
BikePoints_596,51.472816,-0.199783
BikePoints_622,51.50748,-0.205535
BikePoints_99,51.514576,-0.158264
BikePoints_574,51.53356,-0.09315
BikePoints_184,51.520714,-0.145211
BikePoints_499,51.519264,-0.021345
BikePoints_606,51.5042,-0.210941
BikePoints_15,51.517727,-0.127854
BikePoints_810,51.506725,-0.098807
BikePoints_464,51.51417,-0.052099
BikePoints_815,51.500088,-0.116628
BikePoints_853,51.46161,-0.216145
BikePoints_209,51.493584,-0.165101
BikePoints_763,51.520596,-0.032566
BikePoints_204,51.5266,-0.112432
BikePoints_433,51.524563,-0.116279
BikePoints_57,51.523346,-0.120202
BikePoints_315,51.525368,-0.153463
BikePoints_723,51.46822,-0.190346
BikePoints_316,51.497997,-0.14296
BikePoints_325,51.509087,-0.129697
BikePoints_63,51.53089,-0.089782
BikePoints_833,51.46023,-0.115375
BikePoints_185,51.488056,-0.140741
BikePoints_340,51.514442,-0.087587
BikePoints_470,51.530537,-0.025492
BikePoints_579,51.511246,-0.093051
BikePoints_229,51.506542,-0.123179
BikePoints_261,51.51349,-0.191351
BikePoints_165,51.517933,-0.183716
BikePoints_696,51.487286,-0.217995
BikePoints_618,51.476257,-0.193254
BikePoints_842,51.510983,-0.108322
BikePoints_130,51.509506,-0.075459
BikePoints_223,51.491486,-0.09022
BikePoints_688,51.460953,-0.200667
BikePoints_392,51.499428,-0.179702
BikePoints_497,51.526577,-0.027581
BikePoints_231,51.493965,-0.178732
BikePoints_110,51.533043,-0.172528
BikePoints_233,51.50777,-0.130699
BikePoints_54,51.521748,-0.094475
BikePoints_147,51.514942,-0.116146
BikePoints_633,51.48959,-0.209378
BikePoints_466,51.534466,-0.076341
BikePoints_324,51.49652,-0.101384
BikePoints_789,51.53872,-0.011889
BikePoints_561,51.518368,-0.043371
BikePoints_787,51.546806,-0.014691
BikePoints_182,51.52203,-0.165842
BikePoints_605,51.520332,-0.163667
BikePoints_52,51.522953,-0.094934
BikePoints_252,51.504635,-0.116542
BikePoints_142,51.493725,-0.198286
BikePoints_221,51.494816,-0.130458
BikePoints_698,51.53908,-0.070329
BikePoints_754,51.5129,-0.214762
BikePoints_412,51.488106,-0.110121
BikePoints_591,51.506092,-0.224223
BikePoints_566,51.50916,-0.224103
BikePoints_502,51.53341,-0.049591
BikePoints_84,51.515938,-0.111778
